,Périmètre,Date,Heures,Consommation,temperature,nebulosite,region.code,prev_conso,workday,workday_2,sun,full date
0,France,2017-05-05,00:00,54287.0,90.01006944444444,2.837037037037037,FRANCE,49560.0,1,ouvre,0,2017-05-05 00:00:00
1,France,2017-05-05,00:15,53791.0,88.99675925925926,2.8807581018518515,FRANCE,48075.0,1,ouvre,0,2017-05-05 00:15:00
2,France,2017-05-05,00:30,51841.0,87.98344907407406,2.9244791666666665,FRANCE,50499.0,1,ouvre,0,2017-05-05 00:30:00
3,France,2017-05-05,00:45,50499.0,86.97013888888887,2.968200231481482,FRANCE,51841.0,1,ouvre,0,2017-05-05 00:45:00
4,France,2017-05-05,01:00,49560.0,85.9568287037037,3.011921296296297,FRANCE,49464.0,1,ouvre,0,2017-05-05 01:00:00
5,France,2017-05-05,01:15,49464.0,85.08642939814816,3.0885127314814818,FRANCE,48916.0,1,ouvre,0,2017-05-05 01:15:00
6,France,2017-05-05,01:30,48916.0,84.21603009259262,3.165104166666667,FRANCE,49464.0,1,ouvre,0,2017-05-05 01:30:00
7,France,2017-05-05,01:45,48834.0,83.34563078703705,3.241695601851852,FRANCE,48916.0,1,ouvre,0,2017-05-05 01:45:00
8,France,2017-05-05,02:00,48138.0,82.47523148148147,3.3182870370370368,FRANCE,48478.0,1,ouvre,0,2017-05-05 02:00:00
9,France,2017-05-05,02:15,48478.0,81.83993055555554,3.3983217592592596,FRANCE,47365.0,1,ouvre,0,2017-05-05 02:15:00
10,France,2017-05-05,02:30,47365.0,81.20462962962962,3.4783564814814816,FRANCE,48478.0,1,ouvre,0,2017-05-05 02:30:00
11,France,2017-05-05,02:45,46950.0,80.5693287037037,3.5583912037037044,FRANCE,47365.0,1,ouvre,0,2017-05-05 02:45:00
12,France,2017-05-05,03:00,45893.0,79.93402777777777,3.6384259259259264,FRANCE,45390.0,1,ouvre,0,2017-05-05 03:00:00
13,France,2017-05-05,03:15,45390.0,79.65645254629631,3.708883101851853,FRANCE,45893.0,1,ouvre,0,2017-05-05 03:15:00
14,France,2017-05-05,03:30,45101.0,79.37887731481482,3.7793402777777776,FRANCE,45390.0,1,ouvre,0,2017-05-05 03:30:00
15,France,2017-05-05,03:45,44394.0,79.10130208333331,3.849797453703703,FRANCE,45101.0,1,ouvre,0,2017-05-05 03:45:00
16,France,2017-05-05,04:00,44244.0,78.82372685185186,3.9202546296296297,FRANCE,44339.0,1,ouvre,0,2017-05-05 04:00:00
17,France,2017-05-05,04:15,44339.0,79.47734375,4.005324074074074,FRANCE,44244.0,1,ouvre,0,2017-05-05 04:15:00
18,France,2017-05-05,04:30,44247.0,80.13096064814816,4.0903935185185185,FRANCE,44521.0,1,ouvre,0,2017-05-05 04:30:00
19,France,2017-05-05,04:45,44521.0,80.7845775462963,4.175462962962963,FRANCE,44247.0,1,ouvre,0,2017-05-05 04:45:00
20,France,2017-05-05,05:00,44738.0,81.43819444444446,4.260532407407409,FRANCE,44521.0,1,ouvre,0,2017-05-05 05:00:00
21,France,2017-05-05,05:15,46130.0,83.5915798611111,4.320572916666666,FRANCE,45684.0,1,ouvre,0,2017-05-05 05:15:00
22,France,2017-05-05,05:30,46909.0,85.74496527777778,4.380613425925927,FRANCE,47764.0,1,ouvre,0,2017-05-05 05:30:00
23,France,2017-05-05,05:45,47764.0,87.89835069444445,4.4406539351851855,FRANCE,46909.0,1,ouvre,0,2017-05-05 05:45:00
24,France,2017-05-05,06:00,48553.0,90.05173611111111,4.500694444444443,FRANCE,47989.0,1,ouvre,0,2017-05-05 06:00:00
25,France,2017-05-05,06:15,50358.0,94.15176504629628,4.4823206018518515,FRANCE,48553.0,1,ouvre,0,2017-05-05 06:15:00
26,France,2017-05-05,06:30,51470.0,98.25179398148147,4.46394675925926,FRANCE,49903.0,1,ouvre,1,2017-05-05 06:30:00
27,France,2017-05-05,06:45,52332.0,102.35182291666666,4.445572916666666,FRANCE,41948.0,1,ouvre,1,2017-05-05 06:45:00
28,France,2017-05-05,07:00,54006.0,106.45185185185188,4.427199074074074,FRANCE,55288.0,1,ouvre,1,2017-05-05 07:00:00
29,France,2017-05-05,07:15,55149.0,111.45098379629627,4.404311342592592,FRANCE,47711.0,1,ouvre,1,2017-05-05 07:15:00
30,France,2017-05-05,07:30,56288.0,116.45011574074074,4.381423611111111,FRANCE,49316.0,1,ouvre,1,2017-05-05 07:30:00
31,France,2017-05-05,07:45,57125.0,121.4492476851852,4.3585358796296285,FRANCE,51033.0,1,ouvre,1,2017-05-05 07:45:00
32,France,2017-05-05,08:00,57450.0,126.44837962962966,4.335648148148148,FRANCE,51886.0,1,ouvre,1,2017-05-05 08:00:00
33,France,2017-05-05,08:15,57918.0,131.17320601851853,4.2804976851851855,FRANCE,55690.0,1,ouvre,1,2017-05-05 08:15:00
34,France,2017-05-05,08:30,58022.0,135.89803240740738,4.225347222222221,FRANCE,55953.0,1,ouvre,1,2017-05-05 08:30:00
35,France,2017-05-05,08:45,58253.0,140.62285879629627,4.170196759259259,FRANCE,44555.0,1,ouvre,1,2017-05-05 08:45:00
36,France,2017-05-05,09:00,58466.0,145.34768518518518,4.115046296296296,FRANCE,45758.0,1,ouvre,1,2017-05-05 09:00:00
37,France,2017-05-05,09:15,58761.0,148.80150462962962,4.045167824074073,FRANCE,46587.0,1,ouvre,1,2017-05-05 09:15:00
38,France,2017-05-05,09:30,58721.0,152.2553240740741,3.975289351851852,FRANCE,47784.0,1,ouvre,1,2017-05-05 09:30:00
39,France,2017-05-05,09:45,58713.0,155.70914351851852,3.90541087962963,FRANCE,48407.0,1,ouvre,1,2017-05-05 09:45:00
40,France,2017-05-05,10:00,58450.0,159.16296296296298,3.8355324074074084,FRANCE,56073.0,1,ouvre,1,2017-05-05 10:00:00
41,France,2017-05-05,10:15,58375.0,161.499681712963,3.77109375,FRANCE,49262.0,1,ouvre,1,2017-05-05 10:15:00
42,France,2017-05-05,10:30,58231.0,163.8364004629629,3.7066550925925927,FRANCE,56285.0,1,ouvre,1,2017-05-05 10:30:00
43,France,2017-05-05,10:45,57667.0,166.17311921296297,3.642216435185185,FRANCE,55782.0,1,ouvre,1,2017-05-05 10:45:00
44,France,2017-05-05,11:00,57846.0,168.50983796296296,3.5777777777777766,FRANCE,57659.0,1,ouvre,1,2017-05-05 11:00:00
45,France,2017-05-05,11:15,57659.0,170.18081597222226,3.5347222222222228,FRANCE,57755.0,1,ouvre,1,2017-05-05 11:15:00
46,France,2017-05-05,11:30,57755.0,171.85179398148148,3.4916666666666667,FRANCE,57414.0,1,ouvre,1,2017-05-05 11:30:00
47,France,2017-05-05,11:45,57414.0,173.5227719907407,3.448611111111111,FRANCE,51584.0,1,ouvre,1,2017-05-05 11:45:00
